time,ax,ay,az,atotal
7.833899021148682,0.37,-6.29,1.56,6.49
7.835567951202393,0.72,-6.45,1.46,6.65
7.925477027893066,1.14,-6.01,1.4,6.27
7.926952123641968,1.94,-5.8,1.95,6.41
7.937768936157227,3.18,-5.86,3.51,7.53
7.939455986022949,4.03,-5.0,4.67,7.94
7.950743913650513,4.18,-4.05,4.98,7.65
7.952446937561035,3.26,-3.37,5.19,6.99
7.967326879501343,1.31,-2.83,5.1,5.97
7.96900200843811,-0.19,-2.32,4.56,5.11
7.98363995552063,-0.66,-1.89,3.84,4.33
7.985461950302124,-0.64,-1.74,3.58,4.03
8.07535696029663,-0.11,0.0,4.48,4.48
8.076825857162476,0.38,1.5,3.97,4.26
8.08763599395752,0.65,2.9,3.3,4.44
