time,ax,ay,az,atotal,wx,wy,wz,type,lon,lat
2022-12-08 21:22:16+00:00,-0.6333333333333333,-0.036231884057971,-0.5772463768115942,5.459250068103199,-0.04,-0.01,-0.05,ankle,-123.17857635502001,49.26508413304791
2022-12-08 21:22:17+00:00,-0.2170967741935483,-0.6625806451612903,0.1503225806451613,5.416048598664517,-0.03,-0.01,-0.05,ankle,-123.17855309906257,49.265082625026125
2022-12-08 21:22:18+00:00,0.9665714285714284,0.7911428571428571,0.2811428571428571,5.394702649575745,-0.02,-0.05,-0.04,ankle,-123.17852746990889,49.265080414048
2022-12-08 21:22:19+00:00,-1.1429850746268655,-0.5850746268656717,-0.3014925373134328,5.413080427752533,0.0,-0.09,-0.04,ankle,-123.1785053058691,49.26508057729052
2022-12-08 21:22:20+00:00,0.3385714285714285,-0.0877777777777777,0.6884126984126984,5.470051726668117,0.01,-0.13,-0.04,ankle,-123.17848313336971,49.26508115055074
2022-12-08 21:22:21+00:00,-0.4495714285714285,0.5830000000000001,-0.6987142857142857,5.542869168224211,0.02,-0.15,-0.04,ankle,-123.17846165743894,49.265080983155094
2022-12-08 21:22:22+00:00,-0.0233333333333333,-1.0243939393939394,0.7321212121212122,5.597445013869611,0.01,-0.15,-0.03,ankle,-123.17843854676389,49.26508107208514
2022-12-08 21:22:23+00:00,0.4046153846153846,1.1727692307692308,-0.0138461538461538,5.6061556100701235,0.0,-0.12,-0.01,ankle,-123.17841315374736,49.26508071893739
2022-12-08 21:22:24+00:00,-0.676231884057971,-1.2604347826086957,-0.0082608695652173,5.559333579284469,-0.01,-0.1,0.01,ankle,-123.17838944173178,49.26508014036084
2022-12-08 21:22:25+00:00,0.9865079365079364,1.076190476190476,0.0565079365079365,5.467211506906512,0.0,-0.06,0.04,ankle,-123.17836651854795,49.26507957160034
2022-12-08 21:22:26+00:00,-1.2611764705882351,-0.8132352941176471,-0.2764705882352941,5.356029321423914,0.02,-0.01,0.06,ankle,-123.1783440854007,49.26508110516
2022-12-08 21:22:27+00:00,0.7050746268656717,0.3964179104477612,0.596865671641791,5.257868069132914,0.03,0.02,0.07,ankle,-123.1783218140238,49.265080739956204
2022-12-08 21:22:28+00:00,-0.46,0.0852380952380952,-0.4663492063492063,5.196808154692386,0.05,0.03,0.06,ankle,-123.17829937001899,49.26508092897863
2022-12-08 21:22:29+00:00,-0.1608450704225352,-0.7407042253521128,0.1669014084507042,5.180108105598178,0.07,0.04,0.04,ankle,-123.17827768350918,49.26508160607036
2022-12-08 21:22:30+00:00,0.8721538461538462,1.1853846153846153,0.2555384615384615,5.1994644326301955,0.08,0.05,0.01,ankle,-123.17825652846582,49.265080803244395
2022-12-08 21:22:31+00:00,-0.8292307692307692,-0.4772307692307693,-0.6778461538461539,5.238604552970935,0.08,0.05,-0.02,ankle,-123.17823544039015,49.26507963001421
2022-12-08 21:22:32+00:00,0.5358571428571428,-0.1962857142857143,0.7274285714285714,5.278212475034372,0.07,0.03,-0.04,ankle,-123.17821460745779,49.26507909036569
2022-12-08 21:22:33+00:00,-0.3369230769230769,0.3423076923076923,-0.3638461538461538,5.297133136537613,0.04,0.01,-0.06,ankle,-123.17819369155671,49.26507904575346
